s.no,Code,Station,Latitude,Longitude
405,AGQ,Asirgarh Road,21.3780681,76.2674814
406,PGL,Pagdhal,22.4203226,77.3515124
407,MUO,Masangaon,22.2671007,76.9968487
408,SXA,Sagphata,21.5567099,76.3924339
409,CAZ,Chauhani,23.3325544,76.2653869
410,MZHL,Majhaoli,24.1756618,82.3924287
411,RRU,Rayaru,26.306033,78.1301513
412,RAMP,Rampuri,22.4089674,80.2549645
413,CCD,Chichonda,21.7092871,78.3525465
414,UNL,Unhel,23.3146414,75.4751033
415,KIKA,Kurwai Kethora,24.1183085,78.1156776
416,SCN,Sondha Road,26.4983516,78.4841356
417,MWA,Mandwa,21.515839,76.391775
418,GNWA,Ghunwara,24.1344686,80.6303889
419,BRKH,Bisapur Kalan Halt,21.9135481,78.9224728
420,NDNI,Nidhani,22.6077911,79.982121
421,CDI,Chandni,21.4260254,76.3486612
422,DPW,Dhapewara,21.8724198,80.1912445
423,RTZ,Ratona,23.8351437,78.6848223
424,RMO,Ramakona,21.7034042,78.8574225
425,RMPH,Rampahari,26.2153162,77.3389907
426,BTC,Balaghat Junction,21.8132939,80.1997061
427,MXS,Mohasa,24.3756427,78.2877641
428,BRGJ,Bargaon Gujar,21.7771555,76.3554311
429,HATI,Hati,24.6881125,80.8426917
430,DKRA,Dhuankheri,24.4924431,75.8907187
431,BJG,Bajrangarh,22.9880419,74.6437794
432,KQS,Kailaras,26.3037579,77.6189749
433,BIF,Bhaironpur,22.4404741,77.4189803
